user,counter,correct,recorded_result,mask_image,cb_type1,cb_type2,ncb,datetime,random_spread,pallet_used,pallet_values,ishihara_list,COLORS_ON,COLORS_OFF
PqPSs5b7uNc,1,1,5,5,0,0,1,02:29.0,10,Plates_36-37,"['#fb6460', '#fb8a76', '#ef5e47', '#fa8757', '#fd7340', '#f96a52', '#716e29', '#4d493c', '#ab9b4e', '#706c44', '#455941', '#405030']","[(247, 102, 105), (247, 129, 125), (229, 91, 79), (251, 135, 95), (250, 119, 73), (239, 103, 82), (104, 104, 38), (67, 76, 65), (172, 154, 82), (120, 109, 77), (63, 95, 65), (60, 88, 55)]","[(247, 102, 105), (247, 129, 125), (229, 91, 79), (251, 135, 95), (250, 119, 73), (239, 103, 82)]","[(104, 104, 38), (67, 76, 65), (172, 154, 82), (120, 109, 77), (63, 95, 65), (60, 88, 55)]"
PqPSs5b7uNc,2,0,U,E,0,0,1,02:33.7,10,Plates_6-9,"['#7d8762', '#bcc967', '#69603a', '#baa955', '#ad9556', '#bcc966', '#d65153', '#fc8b67', '#fe9466', '#e85a41', '#f0b55e', '#fe733e']","[(131, 144, 102), (195, 195, 101), (95, 104, 65), (195, 178, 75), (178, 140, 78), (188, 193, 111), (220, 72, 92), (243, 142, 106), (249, 140, 94), (231, 82, 71), (235, 182, 86), (244, 122, 55)]","[(131, 144, 102), (195, 195, 101), (95, 104, 65), (195, 178, 75), (178, 140, 78), (188, 193, 111)]","[(220, 72, 92), (243, 142, 106), (249, 140, 94), (231, 82, 71), (235, 182, 86), (244, 122, 55)]"
PqPSs5b7uNc,3,1,1,1,0,0,1,02:38.8,10,Plates_2-5,"['#ea996d', '#f87562', '#e9cfc5', '#f4542d', '#fd8c42', '#e9cfc6', '#c6a04d', '#555531', '#827746', '#898144', '#c5aa3b', '#555532']","[(237, 161, 113), (249, 121, 91), (241, 209, 196), (239, 92, 36), (250, 141, 73), (240, 214, 196), (188, 160, 74), (75, 93, 46), (132, 109, 61), (129, 136, 63), (199, 165, 60), (87, 83, 40)]","[(237, 161, 113), (249, 121, 91), (241, 209, 196), (239, 92, 36), (250, 141, 73), (240, 214, 196)]","[(188, 160, 74), (75, 93, 46), (132, 109, 61), (129, 136, 63), (199, 165, 60), (87, 83, 40)]"
PqPSs5b7uNc,4,0,U,N,0,0,1,02:43.6,10,Plates_30-31,"['#9eab5e', '#5c6746', '#546942', '#bdbe75', '#6a6f4e', '#9caf5d', '#f6d01e', '#f9654c', '#faa06d', '#d5412c', '#facc33', '#f87653']","[(153, 168, 93), (99, 100, 63), (82, 110, 72), (182, 197, 117), (96, 104, 70), (148, 166, 90), (245, 207, 28), (243, 96, 80), (246, 166, 99), (203, 64, 50), (245, 211, 52), (246, 114, 77)]","[(153, 168, 93), (99, 100, 63), (82, 110, 72), (182, 197, 117), (96, 104, 70), (148, 166, 90)]","[(245, 207, 28), (243, 96, 80), (246, 166, 99), (203, 64, 50), (245, 211, 52), (246, 114, 77)]"
PqPSs5b7uNc,5,0,U,1,0,0,1,02:47.3,10,bluey,"['#3282be', '#08529c', '#3282be', '#08529c', '#3282be', '#08529c', '#72229f', '#9a5bbf', '#72229f', '#9a5bbf', '#72229f', '#9a5bbf']","[(53, 134, 188), (9, 76, 155), (50, 125, 194), (4, 81, 147), (57, 120, 191), (6, 87, 146), (111, 25, 150), (156, 82, 190), (116, 26, 156), (154, 97, 182), (122, 30, 167), (151, 92, 182)]","[(53, 134, 188), (9, 76, 155), (50, 125, 194), (4, 81, 147), (57, 120, 191), (6, 87, 146)]","[(111, 25, 150), (156, 82, 190), (116, 26, 156), (154, 97, 182), (122, 30, 167), (151, 92, 182)]"
PqPSs5b7uNc,6,0,U,D,0,0,1,02:50.6,10,Plates_10-13,"['#bc5325', '#f5a957', '#e87941', '#ff793b', '#c74e25', '#f9703b', '#f4d66f', '#bcb778', '#796b3b', '#b39e47', '#5c7579', '#5c7578']","[(195, 82, 34), (243, 169, 85), (229, 121, 69), (253, 112, 66), (195, 74, 28), (239, 107, 56), (235, 222, 118), (182, 177, 117), (120, 97, 66), (188, 154, 74), (99, 125, 121), (100, 126, 123)]","[(195, 82, 34), (243, 169, 85), (229, 121, 69), (253, 112, 66), (195, 74, 28), (239, 107, 56)]","[(235, 222, 118), (182, 177, 117), (120, 97, 66), (188, 154, 74), (99, 125, 121), (100, 126, 123)]"
PqPSs5b7uNc,7,1,2,2,0,0,1,02:57.6,10,Plates_36-37,"['#fb6460', '#fb8a76', '#ef5e47', '#fa8757', '#fd7340', '#f96a52', '#716e29', '#4d493c', '#ab9b4e', '#706c44', '#455941', '#405030']","[(249, 103, 86), (254, 138, 110), (234, 95, 80), (254, 136, 89), (247, 119, 61), (241, 114, 80), (107, 107, 41), (68, 81, 68), (162, 145, 80), (117, 101, 71), (60, 97, 65), (69, 74, 55)]","[(249, 103, 86), (254, 138, 110), (234, 95, 80), (254, 136, 89), (247, 119, 61), (241, 114, 80)]","[(107, 107, 41), (68, 81, 68), (162, 145, 80), (117, 101, 71), (60, 97, 65), (69, 74, 55)]"
PqPSs5b7uNc,8,0,3,B,0,0,1,03:00.8,10,bluey,"['#3282be', '#08529c', '#3282be', '#08529c', '#3282be', '#08529c', '#72229f', '#9a5bbf', '#72229f', '#9a5bbf', '#72229f', '#9a5bbf']","[(42, 122, 198), (8, 90, 163), (51, 133, 189), (2, 86, 155), (46, 134, 190), (1, 78, 150), (114, 34, 154), (158, 88, 198), (106, 35, 154), (159, 92, 199), (107, 29, 166), (155, 95, 182)]","[(42, 122, 198), (8, 90, 163), (51, 133, 189), (2, 86, 155), (46, 134, 190), (1, 78, 150)]","[(114, 34, 154), (158, 88, 198), (106, 35, 154), (159, 92, 199), (107, 29, 166), (155, 95, 182)]"
PqPSs5b7uNc,9,1,5,5,1,0,1,03:09.0,10,Plates_22-27D,"['#f44d3b', '#ee2f24', '#efa892', '#fb5c51', '#f8241f', '#efa893', '#7d6b5f', '#23262d', '#4e4245', '#7e6c5c', '#827059', '#4e4240']","[(251, 73, 57), (246, 45, 40), (248, 163, 150), (253, 86, 82), (241, 45, 32), (245, 161, 140), (130, 111, 97), (25, 36, 36), (83, 62, 62), (133, 101, 96), (136, 114, 90), (75, 60, 59)]","[(251, 73, 57), (246, 45, 40), (248, 163, 150), (253, 86, 82), (241, 45, 32), (245, 161, 140)]","[(130, 111, 97), (25, 36, 36), (83, 62, 62), (133, 101, 96), (136, 114, 90), (75, 60, 59)]"
PqPSs5b7uNc,10,1,3,3,0,0,1,03:17.5,10,Plates_2-5,"['#ea996d', '#f87562', '#e9cfc5', '#f4542d', '#fd8c42', '#e9cfc6', '#c6a04d', '#555531', '#827746', '#898144', '#c5aa3b', '#555532']","[(228, 143, 105), (247, 111, 102), (227, 209, 197), (243, 87, 43), (249, 131, 71), (239, 197, 194), (199, 151, 86), (75, 92, 39), (122, 128, 65), (136, 130, 77), (203, 160, 56), (76, 85, 56)]","[(228, 143, 105), (247, 111, 102), (227, 209, 197), (243, 87, 43), (249, 131, 71), (239, 197, 194)]","[(199, 151, 86), (75, 92, 39), (122, 128, 65), (136, 130, 77), (203, 160, 56), (76, 85, 56)]"
