user,correct,recorded_result,mask_image,cb_type1,cb_type2,ncb,datetime,random_spread,pallet_used,pallet_values,ishihara_list,COLORS_ON,COLORS_OFF,cluster_classification
unknown_1,1,5,5,0,0,1,16/6/20 11:22,10,bear,"[#e26f39,#f6c458,#e09c3e,#e69e40,#ed7b3d,#f5be67,#469224,#604929,#a09f33,#dfd548,#89bcb2,#dccb47]","[(220,105,53),(239,192,86),(227,162,61),(222,153,60),(235,113,53),(240,191,102),(71,138,38),(92,73,38),(153,165,49),(221,221,70),(144,190,182),(224,196,63)]","[(220,105,53),(239,192,86),(227,162,61),(222,153,60),(235,113,53),(240,191,102)]","[(71,138,38),(92,73,38),(153,165,49),(221,221,70),(144,190,182),(224,196,63)]",0
unknown_1,1,C,C,0,0,1,16/6/20 11:20,10,bear,"[#e26f39,#f6c458,#e09c3e,#e69e40,#ed7b3d,#f5be67,#469224,#604929,#a09f33,#dfd548,#89bcb2,#dccb47]","[(232,116,65),(247,198,95),(221,152,56),(220,166,64),(228,117,67),(249,199,101),(65,149,38),(99,72,41),(168,165,50),(223,211,67),(140,196,168),(212,194,68)]","[(232,116,65),(247,198,95),(221,152,56),(220,166,64),(228,117,67),(249,199,101)]","[(65,149,38),(99,72,41),(168,165,50),(223,211,67),(140,196,168),(212,194,68)]",0
unknown_1,1,D,D,0,0,1,16/6/20 11:30,10,bear,"[#e26f39,#f6c458,#e09c3e,#e69e40,#ed7b3d,#f5be67,#469224,#604929,#a09f33,#dfd548,#89bcb2,#dccb47]","[(226,114,54),(253,186,87),(233,148,70),(236,165,69),(237,129,60),(244,185,105),(75,142,40),(96,64,34),(162,152,41),(224,219,65),(146,196,173),(210,198,72)]","[(226,114,54),(253,186,87),(233,148,70),(236,165,69),(237,129,60),(244,185,105)]","[(75,142,40),(96,64,34),(162,152,41),(224,219,65),(146,196,173),(210,198,72)]",0
unknown_1,1,N,N,0,0,1,16/6/20 11:21,10,bear,"[#e26f39,#f6c458,#e09c3e,#e69e40,#ed7b3d,#f5be67,#469224,#604929,#a09f33,#dfd548,#89bcb2,#dccb47]","[(231,116,53),(253,203,81),(215,149,67),(224,156,61),(241,126,52),(252,185,100),(70,149,26),(96,73,48),(163,158,57),(219,214,66),(144,182,183),(219,200,78)]","[(231,116,53),(253,203,81),(215,149,67),(224,156,61),(241,126,52),(252,185,100)]","[(70,149,26),(96,73,48),(163,158,57),(219,214,66),(144,182,183),(219,200,78)]",0
unknown_1,0,N,E,0,0,1,16/6/20 11:22,10,bear,"[#e26f39,#f6c458,#e09c3e,#e69e40,#ed7b3d,#f5be67,#469224,#604929,#a09f33,#dfd548,#89bcb2,#dccb47]","[(223,102,47),(244,188,85),(217,147,55),(222,165,73),(243,126,54),(240,185,101),(63,147,29),(103,82,46),(155,153,53),(214,215,63),(146,184,173),(212,201,72)]","[(223,102,47),(244,188,85),(217,147,55),(222,165,73),(243,126,54),(240,185,101)]","[(63,147,29),(103,82,46),(155,153,53),(214,215,63),(146,184,173),(212,201,72)]",0
male_ncb_2,1,2,2,0,0,1,pre_timestamp,25,bear,"[#e26f39, #f6c458, #e09c3e, #e69e40, #ed7b3d, #f5be67, #469224, #604929, #a09f33, #dfd548, #89bcb1, #dccb47]","[(244, 130, 52), (250, 188, 96), (201, 135, 61), (239, 167, 63), (216, 109, 80), (231, 178, 103), (73, 168, 50), (75, 79, 60), (137, 182, 27), (237, 200, 76), (147, 190, 186), (228, 204, 52)]","[(244, 130, 52), (250, 188, 96), (201, 135, 61), (239, 167, 63), (216, 109, 80), (231, 178, 103)]","[(73, 168, 50), (75, 79, 60), (137, 182, 27), (237, 200, 76), (147, 190, 186), (228, 204, 52)]",0
male_ncb_2,1,3,3,0,0,1,pre_timestamp,25,bear,"[#e26f39, #f6c458, #e09c3e, #e69e40, #ed7b3d, #f5be67, #469224, #604929, #a09f33, #dfd548, #89bcb1, #dccb47]","[(213, 88, 48), (226, 180, 98), (235, 169, 44), (252, 140, 80), (237, 142, 68), (238, 191, 81), (48, 170, 47), (99, 61, 52), (160, 163, 68), (240, 196, 81), (159, 188, 200), (204, 199, 81)]","[(213, 88, 48), (226, 180, 98), (235, 169, 44), (252, 140, 80), (237, 142, 68), (238, 191, 81)]","[(48, 170, 47), (99, 61, 52), (160, 163, 68), (240, 196, 81), (159, 188, 200), (204, 199, 81)]",0
male_ncb_2,1,3,3,0,0,1,pre_timestamp,25,bear,"[#e26f39, #f6c458, #e09c3e, #e69e40, #ed7b3d, #f5be67, #469224, #604929, #a09f33, #dfd548, #89bcb1, #dccb47]","[(232, 130, 52), (240, 179, 100), (225, 176, 68), (237, 140, 53), (227, 136, 42), (221, 192, 112), (74, 131, 36), (95, 74, 16), (174, 180, 62), (213, 229, 86), (125, 211, 200), (206, 178, 71)]","[(232, 130, 52), (240, 179, 100), (225, 176, 68), (237, 140, 53), (227, 136, 42), (221, 192, 112)]","[(74, 131, 36), (95, 74, 16), (174, 180, 62), (213, 229, 86), (125, 211, 200), (206, 178, 71)]",0
male_ncb_2,1,3,3,0,0,1,pre_timestamp,25,bear,"[#e26f39, #f6c458, #e09c3e, #e69e40, #ed7b3d, #f5be67, #469224, #604929, #a09f33, #dfd548, #89bcb1, #dccb47]","[(240, 113, 77), (248, 178, 63), (220, 152, 68), (232, 181, 66), (223, 101, 50), (223, 200, 94), (55, 143, 40), (105, 93, 21), (135, 163, 29), (221, 209, 65), (137, 167, 194), (227, 179, 62)]","[(240, 113, 77), (248, 178, 63), (220, 152, 68), (232, 181, 66), (223, 101, 50), (223, 200, 94)]","[(55, 143, 40), (105, 93, 21), (135, 163, 29), (221, 209, 65), (137, 167, 194), (227, 179, 62)]",0
male_ncb_2,1,A,A,0,0,1,pre_timestamp,25,bear,"[#e26f39, #f6c458, #e09c3e, #e69e40, #ed7b3d, #f5be67, #469224, #604929, #a09f33, #dfd548, #89bcb1, #dccb47]","[(239, 108, 59), (236, 173, 74), (199, 165, 52), (244, 167, 66), (237, 147, 42), (245, 185, 85), (75, 122, 18), (74, 82, 52), (147, 146, 37), (218, 211, 61), (136, 212, 191), (209, 191, 89)]","[(239, 108, 59), (236, 173, 74), (199, 165, 52), (244, 167, 66), (237, 147, 42), (245, 185, 85)]","[(75, 122, 18), (74, 82, 52), (147, 146, 37), (218, 211, 61), (136, 212, 191), (209, 191, 89)]",0
