user,counter,correct,recorded_result,mask_image,cb_type1,cb_type2,ncb,datetime,random_spread,pallet_used,pallet_values,ishihara_list,COLORS_ON,COLORS_OFF
gv7HzA,1,1,5,5,0,0,1,02:29.0,10,Plates_36-37,"['#fb6460', '#fb8a76', '#ef5e47', '#fa8757', '#fd7340', '#f96a52', '#716e29', '#4d493c', '#ab9b4e', '#706c44', '#455941', '#405030']","[(247, 102, 105), (247, 129, 125), (229, 91, 79), (251, 135, 95), (250, 119, 73), (239, 103, 82), (104, 104, 38), (67, 76, 65), (172, 154, 82), (120, 109, 77), (63, 95, 65), (60, 88, 55)]","[(247, 102, 105), (247, 129, 125), (229, 91, 79), (251, 135, 95), (250, 119, 73), (239, 103, 82)]","[(104, 104, 38), (67, 76, 65), (172, 154, 82), (120, 109, 77), (63, 95, 65), (60, 88, 55)]"
gv7HzA,2,0,U,E,0,0,1,02:33.7,10,Plates_6-9,"['#7d8762', '#bcc967', '#69603a', '#baa955', '#ad9556', '#bcc966', '#d65153', '#fc8b67', '#fe9466', '#e85a41', '#f0b55e', '#fe733e']","[(131, 144, 102), (195, 195, 101), (95, 104, 65), (195, 178, 75), (178, 140, 78), (188, 193, 111), (220, 72, 92), (243, 142, 106), (249, 140, 94), (231, 82, 71), (235, 182, 86), (244, 122, 55)]","[(131, 144, 102), (195, 195, 101), (95, 104, 65), (195, 178, 75), (178, 140, 78), (188, 193, 111)]","[(220, 72, 92), (243, 142, 106), (249, 140, 94), (231, 82, 71), (235, 182, 86), (244, 122, 55)]"
gv7HzA,3,1,1,1,0,0,1,02:38.8,10,Plates_2-5,"['#ea996d', '#f87562', '#e9cfc5', '#f4542d', '#fd8c42', '#e9cfc6', '#c6a04d', '#555531', '#827746', '#898144', '#c5aa3b', '#555532']","[(237, 161, 113), (249, 121, 91), (241, 209, 196), (239, 92, 36), (250, 141, 73), (240, 214, 196), (188, 160, 74), (75, 93, 46), (132, 109, 61), (129, 136, 63), (199, 165, 60), (87, 83, 40)]","[(237, 161, 113), (249, 121, 91), (241, 209, 196), (239, 92, 36), (250, 141, 73), (240, 214, 196)]","[(188, 160, 74), (75, 93, 46), (132, 109, 61), (129, 136, 63), (199, 165, 60), (87, 83, 40)]"
gv7HzA,4,0,U,N,0,0,1,02:43.6,10,Plates_30-31,"['#9eab5e', '#5c6746', '#546942', '#bdbe75', '#6a6f4e', '#9caf5d', '#f6d01e', '#f9654c', '#faa06d', '#d5412c', '#facc33', '#f87653']","[(153, 168, 93), (99, 100, 63), (82, 110, 72), (182, 197, 117), (96, 104, 70), (148, 166, 90), (245, 207, 28), (243, 96, 80), (246, 166, 99), (203, 64, 50), (245, 211, 52), (246, 114, 77)]","[(153, 168, 93), (99, 100, 63), (82, 110, 72), (182, 197, 117), (96, 104, 70), (148, 166, 90)]","[(245, 207, 28), (243, 96, 80), (246, 166, 99), (203, 64, 50), (245, 211, 52), (246, 114, 77)]"
gv7HzA,5,0,U,1,0,0,1,02:47.3,10,bluey,"['#3282be', '#08529c', '#3282be', '#08529c', '#3282be', '#08529c', '#72229f', '#9a5bbf', '#72229f', '#9a5bbf', '#72229f', '#9a5bbf']","[(53, 134, 188), (9, 76, 155), (50, 125, 194), (4, 81, 147), (57, 120, 191), (6, 87, 146), (111, 25, 150), (156, 82, 190), (116, 26, 156), (154, 97, 182), (122, 30, 167), (151, 92, 182)]","[(53, 134, 188), (9, 76, 155), (50, 125, 194), (4, 81, 147), (57, 120, 191), (6, 87, 146)]","[(111, 25, 150), (156, 82, 190), (116, 26, 156), (154, 97, 182), (122, 30, 167), (151, 92, 182)]"
zJyuyw,3,0,No Image,E,0,0,1,2020-08-28 04:58:52,15,bluey,"{#3282be,#08529c,#3282be,#08529c,#3282be,#08529c,#72229f,#9a5bbf,#72229f,#9a5bbf,#762DA3,#9a5bbf}","{""(49,131,180)"",""(19,74,165)"",""(59,130,180)"",""(20,87,170)"",""(47,117,190)"",""(8,91,168)"",""(116,26,150)"",""(162,104,196)"",""(122,27,144)"",""(163,95,195)"",""(105,50,162)"",""(150,78,187)""}","{""(49,131,180)"",""(19,74,165)"",""(59,130,180)"",""(20,87,170)"",""(47,117,190)"",""(8,91,168)""}","{""(116,26,150)"",""(162,104,196)"",""(122,27,144)"",""(163,95,195)"",""(105,50,162)"",""(150,78,187)""}"
zJyuyw,4,0,Uncertain,No Image,1,0,1,2020-08-28 05:03:34,15,greys,"{#f2bbce,#a43b67,#ce7997,#f2bbce,#a43b67,#ce7997,#969696,#dddddd,#636363,#969696,#cccccc,#636363}","{""(240,173,196)"",""(149,58,110)"",""(194,130,150)"",""(247,172,216)"",""(176,64,103)"",""(193,131,147)"",""(145,151,156)"",""(218,220,225)"",""(111,92,91)"",""(152,161,163)"",""(205,202,196)"",""(92,90,101)""}","{""(240,173,196)"",""(149,58,110)"",""(194,130,150)"",""(247,172,216)"",""(176,64,103)"",""(193,131,147)""}","{""(145,151,156)"",""(218,220,225)"",""(111,92,91)"",""(152,161,163)"",""(205,202,196)"",""(92,90,101)""}"
zJyuyw,5,1,1,1,1,0,1,2020-08-28 05:03:41,15,Plates_22-27D,"{#f44d3b,#E9453D,#efa892,#fb5c51,#E77262,#efa893,#7d6b5f,#23262d,#4e4245,#856C55,#827059,#705F5C}","{""(245,69,46)"",""(245,83,74)"",""(237,174,137)"",""(251,84,72)"",""(218,111,96)"",""(225,170,139)"",""(122,107,84)"",""(24,37,46)"",""(89,75,55)"",""(135,93,85)"",""(131,102,81)"",""(100,108,81)""}","{""(245,69,46)"",""(245,83,74)"",""(237,174,137)"",""(251,84,72)"",""(218,111,96)"",""(225,170,139)""}","{""(122,107,84)"",""(24,37,46)"",""(89,75,55)"",""(135,93,85)"",""(131,102,81)"",""(100,108,81)""}"
zJyuyw,6,0,Uncertain,4,0,0,1,2020-08-28 05:03:47,15,Plates_10-13,"{#bc5325,#f5a957,#e87941,#ff793b,#c74e25,#f9703b,#f4d66f,#bcb778,#796b3b,#b39e47,#5c7579,#796b3b}","{""(193,91,24)"",""(233,177,77)"",""(241,110,59)"",""(246,129,65)"",""(210,79,39)"",""(252,123,47)"",""(233,222,125)"",""(183,186,134)"",""(121,92,58)"",""(187,157,76)"",""(104,129,110)"",""(115,120,47)""}","{""(193,91,24)"",""(233,177,77)"",""(241,110,59)"",""(246,129,65)"",""(210,79,39)"",""(252,123,47)""}","{""(233,222,125)"",""(183,186,134)"",""(121,92,58)"",""(187,157,76)"",""(104,129,110)"",""(115,120,47)""}"
zJyuyw,7,1,4,4,0,0,1,2020-08-28 05:03:54,15,camo2,"{#fb6a4a,#de2d27,#fb6a4a,#de2d27,#fb6a4a,#de2d27,#906d18,#c98d42,#906d18,#c98d42,#906d18,#c98d42}","{""(247,110,83)"",""(235,31,30)"",""(248,106,88)"",""(219,44,39)"",""(250,94,83)"",""(234,45,29)"",""(132,95,17)"",""(215,150,65)"",""(151,105,23)"",""(209,148,51)"",""(158,104,11)"",""(195,149,64)""}","{""(247,110,83)"",""(235,31,30)"",""(248,106,88)"",""(219,44,39)"",""(250,94,83)"",""(234,45,29)""}","{""(132,95,17)"",""(215,150,65)"",""(151,105,23)"",""(209,148,51)"",""(158,104,11)"",""(195,149,64)""}"
